Symbol,Name,lastsale,netchange,pctchange,share_volume,Nasdaq100_points,
ATVI, Activision Blizzard Inc,37.91,0.8,2.16,8132287,0.5,
ADBE, Adobe Systems Incorporated,95.96,-0.14,-0.15,1198136,-0.1,
AKAM, Akamai Technologies Inc.,51.12,0.4,0.79,1652649,0.1,
ALXN, Alexion Pharmaceuticals Inc.,139.11,0.25,0.18,1167077,0,
GOOG, Alphabet Inc.,713.31,-1.98,-0.28,1361332,-0.5,
GOOGL, Alphabet Inc.,728.07,-2.48,-0.34,1354717,0,
AMZN, Amazon.com Inc.,717.93,4.7,0.66,5048150,1.9,
AAL, American Airlines Group Inc.,31.33,-1.53,-4.66,14228217,0,
AMGN, Amgen Inc.,152.9,-1.28,-0.83,2981649,-0.8,
ADI, Analog Devices Inc.,54.9,-0.85,-1.52,2279014,-0.2,
AAPL, Apple Inc.,90.34,-2.17,-2.35,76314690,-1.7,
AMAT, Applied Materials Inc.,19.63,-0.38,-1.9,11787895,-0.4,
ADSK, Autodesk Inc.,58.06,-0.97,-1.64,1960510,-0.2,
ADP, Automatic Data Processing Inc.,86.54,-0.13,-0.15,1692622,-0.1,
BIDU, Baidu Inc.,161.28,-1.77,-1.09,4102952,-0.4,
BBBY, Bed Bath &amp, Beyond Inc.,43.25,-0.36,-0.83,2322599,-0.1
BIIB, Biogen Inc.,262.71,-4.54,-1.7,1299337,-0.9,
BMRN, BioMarin Pharmaceutical Inc.,79.79,-2.43,-2.96,992783,0,
AVGO, Broadcom Limited,141.04,-2.81,-1.95,2645211,-0.6,
CA, CA Inc.,31.48,1.52,5.07,6883618,0.6,
CELG, Celgene Corporation,100.3,0.05,0.05,3985540,0,
CERN, Cerner Corporation,54.46,0.12,0.22,1688798,0,
CHTR, Charter Communications Inc.,213.96,-3.26,-1.5,9795843,-0.3,
CHKP, Check Point Software Technologies Ltd.,81.62,0.41,0.5,729531,0.1,
CSCO, Cisco Systems Inc.,26.67,-0.03,-0.11,19681858,-0.1,
CTXS, Citrix Systems Inc.,82.93,0.29,0.35,866146,0.1,
CTSH, Cognizant Technology Solutions Corporation,61.13,0.03,0.05,2631220,0,
CMCSA, Comcast Corporation,62.26,0.19,0.31,8337486,0.4,
COST, Costco Wholesale Corporation,146.72,-0.4,-0.27,2860594,-0.2,
CSX, CSX Corporation,25.54,-0.35,-1.35,8039425,0,
